location,filename_prefix,camera name,alternate_name,maint_date,month,position,battery,img_delay_sec,burst,imgs_captured,imgs_on_sd,day_start,day_end,days_active,maint_staff,action items,field notes,footage reviewed?,review notes,imgs on zooniverse?,imgs on WI?,imgs backed up x2,on _box,other_notes,exclude
JLDP,big_17sep22,Big Cojo Cam,Govies,17-Sep-22,Sep,same as previous,100%,,8,1484,1384,8/20/22 12:03,9/17/22 9:46,28,ME MH,,,yes,file prefix is gov on google drive but big on WI and XHD. also files are in summer 2022 folder,,TWICE,,,,
JLDP,big_18jun22,Big Cojo Cam,Govies,18-Jun-22,June,very tilted,,,8,,22186,5/14/22 18:39,6/18/22 8:06,35,MC ME,,M&M didnt take notes,yes,,,yes,yes,,,
JLDP,big_20aug22,Big Cojo Cam,Govies,20-Aug-22,Aug,same as previous,100%,,8,1896,1898,7/30/22 8:08,8/20/22 12:01,21,ZZ MM,"check new position, consider adding lock",,yes,"file naming error put a random chunk of photos at the end, shouldnt be a problem tho",,yes,yes names not changed,,some photos in this deployment should be put in the other big cojo deployment of small mammals and birds only,
JLDP,big_30jul22,Big Cojo Cam,Govies,30-Jul-22,Jul,moved - slightly different adjacent log,,,8,,7992,6/18/22 8:18,7/30/22 8:06,42,MM,,"Big coho: 7992 pictures, 100%",yes,vegetation in front of camera precluded pictures (at night) of anything but small mammals; divided into two deployments on WI,,yes,yes,,,
JLDP,boat_17apr22,Percos Boat Cam,,17-Apr-22,April,changed angle to point southeast,,30,8,,14952,4/5/22 0:00,4/17/22 0:00,12,ZZ,,,yes,,,yes,,,,
JLDP,boat_17sep22,Percos Boat Cam,,17-Sep-22,Sep,same as previous,80%,,8,17541,17551,8/20/22 10:55,9/17/22 0:00,28,ME MH,,,yes,marked people with yellow and JLD with blue,,yes,yes but not renamed,,,
JLDP,boat_5apr22,Percos Boat Cam,,5-Apr-22,April,pointed at ocean,dead i guess? or sd full,30,8,,30000+,3/13/22 0:00,3/20/22 1:43,7.071527778,ZZ,,triggered by ocean,yes,,,yes,yes,18-Jul-24,,
JLDP,bone_1oct22,Boneyard Cam,,1-Oct-22,,,,,8,464,464,9/7/22 12:37,10/1/22 11:29,23.95277778,MC,,,yes,didn't have this row initially - added on 7/24/24 based on images,,yes,yes without filenames,,,
JLDP,coca_17sep22,Cojo Canyon Cam,,17-Sep-22,Sep,same as previous,100%,,10,1605,1605,8/26/22 0:00,9/17/22 0:00,22,EW MC,,,yes,marked animals w purple,,yes,,,,
JLDP,coca_20jul22,Cojo Canyon Cam,,20-Jul-22,June (late),same as previous,99%,,10,2487,2497,5/31/22 16:03,7/20/22 9:35,50,ZZ MM,,"Coho canyon: 3417, 99%",yes,,,yes,yes,,,
JLDP,coca_26aug22,Cojo Canyon Cam,,26-Aug-22,Aug,same as previous,,,10,,912,7/30/22 0:00,8/26/22 0:00,27,ZZ,replace dummy lock with master lock 1,,yes,,,yes,,,,
JLDP,coca_30jul22,Cojo Canyon Cam,,30-Jul-22,Jul,same as previous,,,10,,650,7/20/22 9:37,7/30/22 14:24,10,ZZ,,,yes,confirmed 25 jul 23,,yes,,,FOUND ON EXTERNAL HD FROM LAPTOP RECOVERY,
JLDP,cog_30jul22,Cojo Gate Cam,,30-Jul-22,Jul,fallen again - moved,,,10,,2610,7/20/22 9:29,7/30/22 14:19,10,ZZ,,,yes,confirmed 25 jul 23,,yes,,,FOUND ON EXTERNAL HD FROM LAPTOP RECOVERY,
JLDP,coga_20jul22,Cojo Gate Cam,,20-Jul-22,June (late),fallen over - moved to new location,99%,,10,810,810,5/31/22 15:36,7/16/22 14:56,46,ZZ MM,,screen black on 7/16 @ 2:56pm; picked up by me 7/20/2022 9:25:00,yes,,,yes,yes,,,
JLDP,coga_26aug22,Cojo Gate Cam,,26-Aug-22,Aug,turned to face ocean by stranger,,,10,,660,7/30/22 0:00,8/26/22 0:00,20,ZZ,replace dummy lock with master lock 1,,yes,someone turned camera to face ocean 8/19 11:42,,yes,,,Movd:,
JLDP,coj_20jul22,Cojalama Cam,,20-Jul-22,June (late),same as previous,65%,,10,5030,5030,5/31/22 15:21,7/20/22 9:15,50,ZZ MM,,"Cojalama: 6000, 60%",yes,,,yes,yes,,,
JLDP,coja_17sep22,Cojalama Cam,,17-Sep-22,Sep,same as previous,100%,,10,309,309,8/26/22 0:00,9/17/22 0:00,22,EW MC,,,yes,,,yes,,,,
JLDP,cov_14may22,Cove Cam,,14-May-22,May,same as previous,,,8,,6864,4/17/22 11:41,5/14/22 13:24,23,ZZ SC,,Cove cam still good,yes,,,yes,,,,
JLDP,cov_20jul22,Cove Cam,,30-Jul-22,Jul,moved - rock fall in front of existing position,,,8,,6838,6/18/22 22:31,7/30/22 8:23,42,ZZ,,,yes,something weird triggering camera,,yes,yes,,,
JLDP,cove_12nov22,Cove Cam,,12-Nov-22,Nov,same as previous,100%,,,904,952,10/16/22 15:08,11/12/22 14:37,27,ME A F LW,,left card in,yes,but there's a card w photos on it? looks like they came back to get it @2pm,,yes,yes but not renamed,,,
JLDP,cove_18jun22,Cove Cam,,18-Jun-22,June,same as previous,dead,,8,,2632,5/14/22 13:25,6/17/22 12:52,34,ZZ MC ME,,,yes,,,yes,,,,
JLDP,cove_22aug22,Cove Cam,,20-Aug-22,Aug,same as previous,100%,,8,7400,7568,7/30/22 0:00,8/20/22 0:00,21,ZZ MM,"check new position, consider adding lock",,yes,,,yes,no,,,
JLDP,cove17apr22,Cove Cam,,17-Apr-22,April,adjusted from last time to point at ocean,,30,8,,1840,4/5/22 0:00,4/17/22 0:00,12,ZZ,,,yes,filenames missing the _ after cov,,yes,,,,
JLDP,dam_12nov22,Damsite Cam,Damsite Creek Cam,12-Nov-22,Nov,,,,,,2232,10/23/22 14:36,11/12/22 15:59,20,ME A F LW,remove grass from in front,,yes,,,yes,yes,,,
JLDP,dam_14may22,Damsite Cam,Damsite Creek Cam,14-May-22,May,placed,,300,8,,4656,4/17/22 11:15,5/14/22 12:38,23,ZZ SC,,,yes,,,yes,only animal images,,,
JLDP,dam_16oct22,Damsite Cam,Damsite Creek Cam,16-Oct-22,Oct,same as previous,100%,60,8,864,866,9/17/22 13:53,10/16/22 13:30,29,MC A M,change T0 12MP and blur reduction,,yes,,,yes,yes but not renamed,,,
JLDP,dam_17sep22,Damsite Cam,Damsite Creek Cam,17-Sep-22,Sep,same as previous,100%,,8,1088,1096,9/1/22 11:15,9/17/22 13:51,16,ME MH,change to HQ and blur reduction,,yes,"deployed 20 aug, first photo 9/1",,yes,yes but not renamed,,,
JLDP,dam_18jun22,Damsite Cam,Damsite Creek Cam,18-Jun-22,June,same as previous,100%,60,8,,3272,5/14/22 12:40,6/18/22 11:56,35,ZZ MC ME,,"100% batt, confirmed type, changed from 5m to 1m delay, 2k photos? Can't remember but less that 5k",yes,,,yes,,,,
JLDP,dam_22aug22,Damsite Cam,Damsite Creek Cam,20-Aug-22,Aug,same as previous,100%,,8,744,750,7/30/22 11:25,8/20/22 12:08,21,ZZ MM,armor and lock with master lock 1,,yes,,,yes,yes names not changed,,,
JLDP,dam_30jul22,Damsite Cam,Damsite Creek Cam,30-Jul-22,Jul,same as previous,,,8,,3128,6/18/22 12:08,7/30/22 11:23,42,MM,,"Damsite: 3264, 100%",yes,,,yes,yes,,,
JLDP,fort_14may22,North Beach Fort Cam,,14-May-22,May,same as previous,,,8,,3752,4/17/22 13:29,5/14/22 10:15,23,ZZ SC,,North Beach Fort cam has BEEN OFF THIS WHOLE TIME,yes,glitch from 5/3/2022 21:26 to 5/07/22 17:17,,yes,yes,,,
JLDP,fort_18jun22,North Beach Fort Cam,,18-Jun-22,June,same as previous,100%,1,8,,,5/14/22 10:16,6/18/22 9:01,35,ZZ MC ME,,"delay at 1s, battery 100%, 25k imgs, lock unlocked",no,"very windy, wobbled and triggered the camera - accidentally prefixed with NBC",,yes,yes,,,
JLDP,fort_20aug22,North Beach Fort Cam,,20-Aug-22,Aug,same as previous,100%,,8,2248,2248,7/30/22 10:01,8/20/22 14:44,21,ZZ MM,check lock,,yes,,,yes,,,,
JLDP,fort_30jul22,North Beach Fort Cam,,30-Jul-22,Jul,same as previous - added armor,100%,,8,6768,6874,6/18/22 9:03,7/30/22 10:00,42,ZZ ,,"100%, 6768 pics.  Left SD card because forgot extra (ended up using black canyons card). Lock left open, very corroded ",yes,,,yes,folder on google drive empty? FOUND ON EXTERNAL HD FROM LAPTOP RECOVERY,,,
JLDP,gov_12nov22,Govies Cliff Cam,Government Point Cam 1,12-Nov-22,Nov,same as previous,66%,,,16946,16512,10/17/22 9:31,11/12/22 0:00,26,ME A F LW,,"new batteries, water canyon card",yes,,,yes,yes,,,
JLDP,gov_14may22,Big Cojo Cam,Govies,14-May-22,May,same as previous,,,8,,15376,4/28/22 9:21,5/14/22 13:12,16,ZZ SC,,triggered by vegetation,yes,,yes,yes,yes,,,
JLDP,gov_17apr22,Big Cojo Cam,Govies,17-Apr-22,April,adjusted from last time - taken off signpost,,30,8,,816,4/5/22 0:00,4/17/22 0:00,12,ZZ,,"blocked by vegetation most of the time, esp at night",yes,filenames missing the _ after gov,,yes,,,,
JLDP,gov2_20aug22,Govies Cliff Cam,Government Point Cam 1,20-Aug-22,Aug,same as previous,93%,,8,1184,1184,7/31/22 5:39,8/20/22 12:58,20,ZZ MM,"check new position, consider adding lock",,yes,repositioned by me on 7/31/22 11:07,,yes,no,,should this be a new deployment on WI since positions changed?,
JLDP,jal_13aug22,Jalama Cam,,26-Aug-22,Aug,same as previous,,,10,,4212,7/30/22 0:00,8/13/22 0:00,14,ZZ MM,replace dummy lock with master lock 1,,yes,died 13 aug 22 at 10:16:27,,yes,,,,
JLDP,jal_13nov22,Jalama Cam,,12-Nov-22,Nov,same as previous,,60,10,,15260,9/17/22 13:51,11/12/22 14:26,56,ME A F LW,,sd card not collected last month,yes,several hour long nighttime dance party in front of the camera,,yes,,,,
JLDP,jal_17sep22,Jalama Cam,,17-Sep-22,Sep,same as previous,100%,,10,3111,3111,8/26/22 0:00,9/17/22 0:00,22,EW MC,,the SD card in here was labed VSFB but was the one in the Jalama case,yes,,,yes,,,,
JLDP,jal_20jul22,Jalama Cam,,20-Jul-22,June (late),adjusted angle south,72%,,10,12430,12431,5/31/22 14:40,7/20/22 9:00,50,ZZ MM,,"buckwheat grown in front; Card in RIZ S; Adjusted angle south; Jalama: 16320, 65%",yes,,,yes,yes,,,
JLDP,jal_30jul22,Jalama Cam,,30-Jul-22,Jul,same as previous,,,10,,3890,7/20/22 9:02,7/30/22 13:57,93,ZZ,,,yes,,,yes,"yes (two drives, not google drive)",,FOUND ON EXTERNAL HD FROM LAPTOP RECOVERY,
JLDP,jal2_13aug22,Jalama 2 Cam,,26-Aug-22,Aug,same as previous,,,10,,30,8/19/22 0:00,8/26/22 0:00,7,ZZ MM,replace dummy lock with master lock 1,,yes,cant remember what happened before the 19th,,,,,,
JLDP,jal2_17sep22,Jalama 2 Cam,,17-Sep-22,Sep,same as previous,87%,,10,180,180,8/26/22 0:00,9/17/22 0:00,22,EW MC,,,yes,,,yes,,,,
JLDP,jal2_6jan23,Jalama 2 Cam,,6-Jan-23,Jan,same as previous,63%,,,683,840,10/13/22 0:00,1/5/23 0:00,84,ZZ RH,,,yes,"lots of gaps, but maybe real",,yes,,,,
JLDP,NA,Black Canyon Cam,,30-Jul-22,Jul,stolen - replaced 7/31,,,,0,0,na,na,0,ZZ,,,na,,,na,na,,,y
JLDP,NA,Black Canyon Cam,,20-Aug-22,Aug,put SD card in,100%,,,0,NA,NA,NA,0,ZZ MM,check lock,,NA,no footage,,na,,,,y
JlDP,NA,Boneyard Cam,,20-Aug-22,Aug,placed! Browning Recon Elite,,,8,3928,3928,8/24/22 0:00,8/26/22 0:00,2,ZZ MM,moved to new spot (test footage exists from 8/24-8/26),,yes,test footage,no,no,,,,y
JLDP,NA,Percos Log Cam,,20-Aug-22,Aug,"screwed into log, tilted slightly more towards beach, locked with master lock 1",100%,,8,full (30k +),,7/30/22 0:00,8/19/22 13:00,20.54166667,ZZ MM,armor and lock with master lock 1,"card full as of 8/18 I think, batt 100%",NA,DATA LOSS,,na,WHERE ARE THESE IMAGES,,,y
JLDP,NA,Percos Post Cam,,20-Aug-22,Aug,"switched to other side of post and moved lower, screwed in and locked w master lock 1",100%,,8,5000,,,,0,ZZ MM,armor and lock with master lock 1,"5000 photos, 100%; moved",NA,DATA LOSS,,na,WHERE ARE THESE IMAGES,,,y
JLDP,nbc_14may22,North Beach Canyon Cam,,14-May-22,May,placed,,,8,,920,4/4/2017 22:24:00 = 4/28/22 11:24,4/21/17 2:37,16,ZZ SC,,,yes,NEED TO PULL AND REDO ON WIDLIFE INSIGHTSdate incorrect,,yes,only animal images,,,
JLDP,nbc_17sep22,North Beach Canyon Cam,,17-Sep-22,Sep,same as previous,0%,,10,300,300,8/26/22 14:29,9/17/22 11:50,22,EW MC,,changed batteries,yes,,,yes,yes,,,
JLDP,nvs_14may22,North Vista Spring Cam,,14-May-22,May,same as previous,,,8,,216,4/28/22 9:59,5/14/22 10:03,16,ZZ SC,,,yes,,,yes,only animal images,,,
JLDP,nvs_18jun22,North Vista Spring Cam,,18-Jun-22,June,same as previous,,1,8,,1496,5/14/22 10:05,6/18/22 8:47,35,ZZ MC ME,,"delay at 1s, battery 100%, 1500 ish images",yes,,,yes,yes,,,
JLDP,nvs_20aug22,North Vista Spring Cam,,20-Aug-22,Aug,"armored, locked",100%,1,8,2586,2858,7/31/22 0:00,8/20/22 14:17,20,ZZ,,date is incorrect  [1 jan 20 12:01 to 22 jan 20 5:22 am],yes,lots of cows - date fixed on WI,,yes,NEEDS TO BE PULLED FROM WI AND REUPLOADED AS OWN DEPLOYMENT,,,
JLDP,nvs_26aug22,North Vista Spring Cam,,26-Aug-22,Aug,changed delay from 1s to 1m,100%,60,8,,72,20 aug 22 around 2:17 pm,8/26/22 0:00,6,ZZ MM,check lock,date is incorrect SUDDENLY?? did some digging and I either factory reset it by accident or the battery dying did it for me,yes,"fixed position ""22 jan"", NO DELAY, consider throwing out bc not balanced; fixed starting ""22 jan"" aka aug 20. ",,yes,NEEDS TO BE PULLED FROM WI AND REUPLOADED AS OWN DEPLOYMENT,,,
JLDP,nvs_30jul22,North Vista Spring Cam,,30-Jul-22,Jul,same as previous - added armor,,,8,46820,46820,6/18/22 8:50,7/16/22 2:31,28,ZZ ,7/24/2022 2:31:00 actual end time,"lots of vegetation moving in sensor range, sd card filled on 7/16 but took images on 7/22 and 7/24",yes but original images are somehow missing from google drive folder so can't check start and end date,,,yes,folder on google drive empty? FOUND ON EXTERNAL HD FROM LAPTOP RECOVERY,,,
JLDP,nvs28apr22,North Vista Spring Cam,,28-Apr-22,April,placed,,30,8,,232,4/17/22 0:00,4/28/22 0:00,11,ZZ,,,yes,missing _,,yes,,,,
VSFB,nwc_21aug22,Not Water Canyon Cam,,21-Aug-22,Aug,,52%,,10,375,60,7/31/22 0:00,8/21/22 0:00,21,ZZ MM,,SD CARD FORMAT ERROR - DATA LOSS,yes,,,yes,,,,y
JLDP,pb_12nov22,Percos Beach Cam,,12-Nov-22,Nov,angle changed 9/18/22 and again 10/12,100%,,,1960,1968,9/18/22 12:02,11/12/22 15:33,55,ME A F LW,,"unlabeled out, left 3",yes,images from 7/30/22 - 8/20/22 still on there. angle of cam changed on 9/18/22. makena changed again 10/12,,yes,yes,,,
JLDP,pb_18jun22,Percos Beach Cam,,18-Jun-22,June,moved and cleared brush,,60,8,,1224,5/14/22 16:50,6/18/22 11:30,35,ZZ MC ME,,"potentially off for 4 hrs on 14 may? Moved percos beach a little closer to sand and changed delay to 1min
100% batt, 1200 pictures ",yes,,,yes,,,,
JLDP,pb_30jul22,Percos Beach Cam,,30-Jul-22,Jul,same as previous,,,8,,880,6/18/22 11:34,7/30/22 11:00,42,MM,,"Percos beach: 904, 100 %",yes,,,yes,yes (two drives),,,
JLDP,pd_22aug22,Percos Driftwood Cam,,20-Aug-22,Aug,"armored, drilled into wood, locked with master lock 1",100%,,8,376,376,7/30/22 10:41,8/20/22 10:41,21,ZZ MM,armor and lock with master lock 1,"376 photos 100% batt, armored,drilled and locked",yes,DATA LOSS - recovered,,yes,no,,,
JLDP,perb_14may22,Percos Beach Cam,,14-May-22,May,placed,,,8,,5191,4/17/22 10:31,5/14/22 12:13,27,ZZ SC,,lots of waving grass triggering camera; grass burm in front disrupted flash,yes,on 9/30/23 for some reason i thought these hadnt been done yet and changed the file prefix to pb just on the external hd,,yes,yes,,,
JLDP,pl_14may22,Percos Log Cam,,14-May-22,May,same as previous,,600,8,,11496,4/17/22 10:46,5/14/22 12:23,27,ZZ SC,,lots of veg disrupting flash and triggering cam,no,angle shifts to face ocean at 10:02 5/03/22,,yes,yes,,,
JLDP,pl_18jun22,Percos Log Cam,,18-Jun-22,June,same as previous,,60,8,,5568,5/14/22 12:15,6/18/22 11:38,35,ZZ MC ME,,"battery 100%, delay 10 min, changed to 1 min, 1500ish photos, full of earwigs",yes,,,yes,,,,
JLDP,pl_30jul22,Percos Log Cam,,30-Jul-22,Jul,same as previous,,,8,,29392,6/18/22 11:45,7/30/22 11:00,42,MM,,"Percos log: 19000, 100%",yes,,,yes,yes (two drives),,,
JLDP,pl_5apr22,Percos Log Cam,,5-Apr-22,April,placed - pointing directly at ocean,,30,8,,40572,3/13/22 0:00,3/17/22 0:00,4,ZZ,,grass moving triggers,yes,camera died 3/17 at 7:51pm,,yes,,,,
JLDP,pl17apr22,Percos Log Cam,,17-Apr-22,April,fixed to point south but pointed at the sky,,30,8,,1848,4/5/22 0:00,4/17/22 0:00,13,ZZ,fix angle!,pointed at sky,yes,missing _ // didn't process for flying birds,,yes,,,,
JLDP,pp_14may22,Percos Post Cam,,14-May-22,May,same as previous,,,8,,7224,2/5/17 1:05,3/4/17 2:31,27.05972222,ZZ SC,,mustard waving in front constantly,yes,date still incorrect (4/5/2022 11:00ish - 5/14/2022),yes,yes,,,,
JLDP,pp_17apr22,Percos Post Cam,,17-Apr-22,April,moved to point down beach on 4/5,alive,30,8,,2224,1/24/17 0:32,2/5/17 1:03,12,ZZ,,date incorrect - can calibrate with photo taken on phone of post cam? (4/5/2022 10:00 am - = 4/17/2022 11:00 am),yes,coyote with sea otter!,,yes,yes,18-Jul-24,,
JLDP,pp_17sept22,Percos Post Cam,,17-Sep-22,Sep,same as previous,100%,60,8,full (30k +),33274,8/20/22 11:48,9/7/22 19:52,18,ME MH,fix the foliage in front,sd card full 7 sep 22 19:52,yes,branch fell in front on 8/25 - NIGHTIME footage is pretty useless. originally dated incorrectly (16 oct 22) but i'm changing now (18 oct 2023) and pulling them from the sorted folders,,yes,yes,,,
JLDP,pp_18jun22,Percos Post Cam,,18-Jun-22,June,same as previous,100%,30,8,,12280,3/4/17 2:40,4/8/17 1:52,34.96666667,ZZ MC ME,,"mustard waving in front constantly; 100% batt (even changed battery type to match lithium), 10k photos, lots of vegetation",yes,date still incorrect (start 5/14/2022),,yes,no,,,
JLDP,pp_30jul22,Percos Post Cam,,30-Jul-22,Jul,same as previous,,,8,,10776,6/18/22 11:48,7/30/22 11:17,42,MM,,"Percos post: 10700, 100%",yes,,,yes,yes (two drives),,,
JLDP,pp_5apr22,Percos Post Cam,,5-Apr-22,April,placed - pointing directly at ocean,dead probably,30,8,,36010,1/1/17 2:02,1/20/17 6:07,20,ZZ,fix angle! pointing directly at ocean,date incorrect - can calibrate with photo taken on phone of post cam? (3/13/2022 11:57 am - sometime before 4/5/22 (10:00 am)) dead for 4 days before the 24th,yes,halfway through (1/6 ish) mustard waving in front of camera triggered constantly,,yes,2 out of 5 folders,18-Jul-24,,
VSFB,rizn_3jun22,RIZ Cam,RIZ Cam N,3-Jun-22,June,placed 5/10/22,,30,10,,1470,5/10/22 9:55,6/3/22 11:46,24,ZZ SC,move - add t-post,,yes,,,yes,no,,,
VSFB,rizn_7sep22,RIZ Cam,RIZ Cam N,7-Sep-22,Sep,same as previous,9-25%,,,420,370,8/21/22 14:21,9/7/22 15:35,17,ZZ,,DATA LOSS,yes,"confirmed that in my notes at least, both had 420 pics",,yes,yes,,,
JLDP,sea_30jul22,Seawall Cam,,30-Jul-22,Jul,same as previous - added armor,3%,,10,1130,1130,6/18/22 9:20,7/30/22 9:31,93,ZZ,,"open? 1130 pics, 3 % batt (replaced)",yes,,,yes,yes,,,
VSFB,vbh_13nov22,Boathouse Cam,,13-Nov-22,Nov,same as previous,88%,60,8,1200,1200,10/15/22 16:34,11/13/22 12:31,29,ME A F LW,,"Boat out, 1 in, SD 10 has issue",yes,,,yes,yes but not renamed,,,
VSFB,vbh_15oct22,Boathouse Cam,,15-Oct-22,Oct,same as previous,90%,60,8,3728,3728,8/21/22 14:15,10/15/22 16:30,55,MC A A M,,,yes,this was apparently fixed --> SOS CALLED THEM BOAT INSTEAD OF VBH SO I JUST CHANGED ALL THE NUMBERING IN THE SUMMER 2022 FOLDER [numbering got messed up - shouldnt affect things?],,yes,yes but not renamed,,,
VSFB,vbh_21aug22,Boathouse Cam,,21-Aug-22,Aug,kids shifted it to face cliff more - got a lot more action! i added science sign,100%,,8,30k,2296,7/31/22 11:57,8/21/22 13:13,21.05277778,ZZ,switch camera to blur reduction and hi def,,yes,,,yes,yes,,,
VSFB,vbh_3jun22,Boathouse Cam,,3-Jun-22,June,placed,dead or sd full,5,8,,35568,1/1/20 1:04,1/8/20 4:55,7,ZZ SC,,"CAMERA WAS SETUP WRONG, FIXED AND SWAPPED CARDS. Screen not super responsive, but I hope camera is??",yes, 5/10/2022 - 5/18/2022,,yes as their own deployment,yes,,,
VSFB,vj_15oct22,Jolluru Cam,,15-Oct-22,Oct,new camera,100%,60,10,300,300,9/7/22 14:00,10/15/22 13:21,38,MC A A M,,,yes,,,yes,yes but not renamed,,,
VSFB,vlad_15oct22,Ladrones Cam,,15-Oct-22,Oct,same as previous,98%,60,10,460,460,8/21/22 15:43,10/15/22 14:24,55,MC A A M,angle up slightly,"NEW SD card labeled ""water canyon""",yes,,,yes,yes but not renamed,,,
VSFB,vmor_21aug22,Morida Cam,,21-Aug-22,Aug,same as previous,99%,,10,3650,60,7/31/22 0:00,8/21/22 0:00,21,ZZ MM,,SD CARD FORMAT ERROR - DATA LOSS,yes,sd deleted everything,,no,"missing everywhere, not on google or xhd",,,y
VSFB,vmor_24jun23,Morida Cam,,24-Jun-22,June,placed 6/3/2022; same as previous,,,10,,3230,6/3/22 12:27,6/24/22 11:33,21,MC ME LW,,New SD card from driftwood case,yes,,,yes,no,,,
VSFB,vof_10may22,Old Fencepost Cam,,10-May-22,May,placed,dead or sd full?,,8,,31734,1/1/17 12:01 =  4/20/2022 11:37:00,1/10/17 23:48,10,ZZ SC,,"Switched position of vandy2 (old fencepost) to other side of canyon - card was full, likely took a lot of photos of plants",yes,date fixed on wildlife insights! keep as its own deployment,,yes as their own deployment,only animal images,,,
VSFB,vof_24jun22,Old Fencepost Cam,,24-Jun-22,June,fallen over - moved,dead,,8,28000,23857,6/3/22 15:18,6/5/22 23:00,3,MC ME LW,,"; New SD car from Percos log, in correct casing, refilled batteries; was fallen over, picture of new location on Maddie’s phonefell on 6/5 around 11pm",yes,fell on 6/5 around 11pm; died on [6/13/2022],,yes,yes,,,
VSFB,vof_3jun22,Old Fencepost Cam,,3-Jun-22,June,swapped to other side of canyon,,30,8,,26057,5/10/22 11:06,6/3/22 15:12,24,ZZ SC,,"Batts at old fence post were at 20% (alkaline) so replaced… But other Batts were lithium so can't be that? (But turns out was set for alkaline); Post had fallen over, bring a tpost nex time",yes,,,yes,no,,,
VSFB,vrizn_13nov22,RIZ Cam,RIZ Cam N,13-Nov-22,Nov,same as previous,14%,60,10,5280,5292,10/15/22 14:39,11/13/22 13:13,29,ME A F LW,clean lens!,blank SD card put in,yes,,,yes,yes but not renamed,,,
VSFB,vriznback_13nov22,RIZ Cam Backup,RIZ Cam N Backup,13-Nov-22,Nov,same as previous,99%,60,10,131,137,10/24/22 0:00,11/13/22 0:00,11,ME A F LW,remove brush,none,yes,"SD card deleted images, ended with 17 images from collection day",,yes,yes but not renamed,,,
VSFB,vrizs_24jun22,RIZ Cam Backup,RIZ Cam S,24-Jun-22,June,pointed at ocean,99,,10,150,100,6/3/22 11:52,6/24/22 11:03,20.96597222,MC ME LW,,,yes,sd issues i think - no data 6/15-622 or 6/9 - 6/14 or 6/3 - 6/6,,"yes, as 'backup'",no,,,
VSFB,vrizs_3jun22,RIZ Cam Backup,RIZ Cam S,3-Jun-22,June,placed 5/10/22,,30,10,,50,5/10/22 10:05,5/23/22 8:02,13,ZZ SC,,"RIZ SOUTH : doesn't seem to be working well, only two captures and didn't catch us walking up to it",yes,"battery either died or there was an SD card glitch, only took photos for 13 days",,yes,,,,
VSFB,vsc_10may22,Sudden Canyon Cam,,10-May-22,May,placed,,,8,,10128,4/20/22 10:11,5/10/22 10:53,20,ZZ SC,,Switched vandy1 slightly so it's facing the ocean more. Took about 10k photos which seems like too many.,yes,,,yes,only animal images,,,
